"",weight,持ち,画質,使い勝手,バランス,レスポンス,操作性,ホールド感,携帯性,もち,写り,精度,位置,質感,機能,ホールド性,条件,目,色,気持ち,デザイン,・画質,視認性,コストパフォーマンス,画像,レンズ,ハンドリング,グリップ感,見え,解像度,AF,感じ,反応,AF精度,感度,発色,質,重さ,・操作性,3．ホールド感,・携帯性,天気,CP,性能,感触,相性,・デザイン,光,応答性,取り付け位置,構造
weight,"",0.222030315566746,0.131201011645695,0.0837238498836329,0.0704152607500539,0.0552979588506609,0.0430011727191111,0.0346100682610292,0.0328002529114237,0.0326265018661708,0.0218668352742825,0.0165176137943921,0.016025641025641,0.015486475575472,0.0132761468969156,0.0130598826853288,0.0130598826853288,0.0130598826853288,0.0130598826853288,0.0130111524163569,0.0130111524163569,0.0109334176371412,0.0109334176371412,0.00929368029739777,0.00825880689719604,0.00825880689719604,0.00825880689719604,0.00825880689719604,0.00825880689719604,0.00825880689719604,0.00825880689719604,0.00743494423791822,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00557620817843866,0.00557620817843866,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00320512820512821,0.00320512820512821,0.00320512820512821
が良くて,0.0037937666630636,2,2,1,1,1,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
が高い,0.00361264613232413,0,0,0,2,0,3,1,1,0,0,4,0,9,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
の高い,0.00359749814086578,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,5,0,0,0,1,2,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0
は感じです,0.00354142033992626,2,2,0,0,0,3,3,2,1,1,0,1,4,2,0,0,0,1,0,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
は方だと,0.00329553706471282,3,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が感じます,0.00329227742438693,2,0,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
はよいです,0.00319790728560017,3,2,0,1,0,4,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
も良好です,0.00308057908173232,1,2,1,0,2,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいです,0.00306037775935563,1,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのが,0.00300761248731903,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は最高です,0.00299344281893344,1,7,2,0,0,1,0,1,0,4,0,0,4,2,0,0,0,0,0,2,0,0,9,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
もありません,0.00299233202329244,0,6,1,0,0,1,5,1,0,8,1,0,0,2,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
のとれた,0.00294041748187038,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は抜群です,0.00280569484774081,1,1,0,1,0,6,4,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が悪いのと,0.00276958543066584,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はします,0.00271166000573128,2,7,0,1,0,0,3,0,0,2,0,0,1,0,0,0,0,1,0,3,0,0,0,0,6,0,0,0,1,0,4,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
がいまいち,0.00270583816541903,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も満足しています,0.00256364029016309,1,11,0,1,0,2,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいですね,0.00251645050241174,0,1,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
は良いのですが,0.00250887427659335,1,4,0,0,1,4,3,5,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいい,0.00250145516833788,0,4,1,2,0,5,3,0,0,3,0,0,0,1,0,0,0,2,0,2,0,0,1,0,3,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
